"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
1.77574463015985e-23,0.642564387123993,0.515,0.34,3.19758335552884e-19,"C1orf115","0"
2.00328035651033e-23,0.523335522866261,0.679,0.497,3.60730693796815e-19,"CRIP2","0"
3.12040007796542e-23,0.398559604563147,0.88,0.78,5.61890442039232e-19,"PPP3CA","0"
4.91181414303687e-23,0.479708505311515,0.758,0.617,8.84470372736649e-19,"TMEM130","0"
4.99463550241515e-23,0.335548735269738,0.923,0.844,8.99384014919896e-19,"GNG3","0"
5.13331767933958e-23,0.779670200315686,0.373,0.215,9.24356514518678e-19,"KIAA1211L","0"
5.1683157669927e-23,0.766131721564938,0.381,0.223,9.30658620162376e-19,"PARM1","0"
5.24529627119014e-23,0.4306265879274,0.815,0.7,9.44520499553209e-19,"MEG3","0"
5.27501640955234e-23,0.964355397420924,0.267,0.131,9.49872204868089e-19,"KCNK12","0"
7.03857676736095e-23,0.796118041800323,0.354,0.199,1.26743651849869e-18,"ARL4C","0"
7.38956137429215e-23,0.516782656093551,0.644,0.461,1.33063831666879e-18,"WASF1","0"
9.42720187183425e-23,0.636568986949084,0.515,0.344,1.69755624106119e-18,"SYT13","0"
9.50042720092846e-23,0.906712549317144,0.29,0.15,1.71074192607119e-18,"FAM81A","0"
9.61738689757284e-23,0.483512787458459,0.725,0.547,1.73180285864594e-18,"SLC25A4","0"
1.11173201473649e-22,0.726452230570226,0.369,0.209,2.001895838936e-18,"CIT","0"
1.22549153369245e-22,0.61734139753118,0.488,0.313,2.20674260471999e-18,"CNTNAP2","0"
1.3200969510397e-22,0.490970129920969,0.645,0.448,2.37709857973719e-18,"RCAN2","0"
1.89074039821409e-22,0.262450758009353,0.984,0.962,3.40465623506412e-18,"PKM","0"
1.94883179310143e-22,0.652294634574879,0.454,0.286,3.50926140983774e-18,"SSX2IP","0"
1.98175393000065e-22,0.444089189147027,0.738,0.569,3.56854430175218e-18,"PSD","0"
2.77110708549799e-22,0.347184709028628,0.914,0.854,4.98993252885623e-18,"MT-ATP8","0"
2.83954528602161e-22,0.606151450321521,0.547,0.379,5.11316919653911e-18,"PPP3R1","0"
2.86300156715435e-22,0.670787354505519,0.397,0.234,5.15540692197484e-18,"SHANK3","0"
3.38884947456182e-22,0.704751213943774,0.425,0.261,6.10230124884347e-18,"DBNDD1","0"
3.76290661030253e-22,0.506478679399001,0.651,0.474,6.77586593317176e-18,"FBXW7","0"
3.81860380851065e-22,0.474911760086787,0.769,0.634,6.87615987798512e-18,"ATP2B1","0"
4.13302845919434e-22,0.808906313267698,0.318,0.172,7.44234434647124e-18,"RASD1","0"
4.49860675662795e-22,0.636045772004958,0.515,0.348,8.10064118665995e-18,"CAPZA2","0"
5.78801729288762e-22,0.637757009227741,0.477,0.314,1.04224827393027e-17,"CHST1","0"
6.17118821152124e-22,0.945887152980437,0.282,0.147,1.11124586124863e-17,"STXBP6","0"
8.17648858442671e-22,0.688204247194365,0.422,0.26,1.47234029939772e-17,"LMTK2","0"
9.43454072414528e-22,0.59113946487485,0.521,0.351,1.69887774819684e-17,"FRRS1L","0"
1.19797283568855e-21,0.613788386500657,0.451,0.283,2.15718968522438e-17,"MIAT","0"
1.27027602911357e-21,0.478877541077344,0.723,0.557,2.28738604562481e-17,"VDAC1","0"
1.30538039335315e-21,0.49410773541963,0.614,0.432,2.35059847431101e-17,"ATL1","0"
1.59204102553345e-21,0.601801308892355,0.454,0.284,2.86678827467808e-17,"L1CAM","0"
1.65996850381435e-21,0.645825024943819,0.455,0.291,2.9891052848185e-17,"ARF5","0"
1.77544453743593e-21,0.935435212556935,0.269,0.137,3.19704297856089e-17,"CITED2","0"
1.88670598885648e-21,0.806617604273602,0.352,0.204,3.39739147413386e-17,"MICU3","0"
2.08920393116846e-21,0.682377104062903,0.401,0.24,3.76202951885504e-17,"TMEM132B","0"
2.82084436711925e-21,0.893570920270006,0.293,0.156,5.07949445187163e-17,"LMBR1","0"
3.59072780569714e-21,0.417724972156199,0.771,0.611,6.46582355971883e-17,"PCMT1","0"
3.83507128362573e-21,0.935766048394619,0.273,0.142,6.90581286042484e-17,"CHRM3","0"
4.14936713636513e-21,0.703220711070695,0.383,0.227,7.47176540245269e-17,"IRS2","0"
4.14967276021089e-21,0.7918596093236,0.317,0.174,7.47231573931175e-17,"FRY","0"
4.70006172501214e-21,0.521258881862846,0.655,0.483,8.46340114822936e-17,"SCN1B","0"
4.90477579544247e-21,0.8655641101622,0.278,0.144,8.83202977485326e-17,"TMEM178B","0"
5.12062973994085e-21,0.262109734945296,0.981,0.945,9.22071797271149e-17,"YWHAG","0"
5.89834086139487e-21,0.63612776008441,0.413,0.251,1.06211423891137e-16,"B4GALNT1","0"
6.15053673411897e-21,0.669354688011529,0.425,0.268,1.1075271497128e-16,"GNB5","0"
6.36648735992883e-21,1.03583052505203,0.255,0.129,1.14641337890238e-16,"KCNIP2","0"
6.72583917404377e-21,0.9391181059219,0.262,0.134,1.21112186007006e-16,"RGMB","0"
7.26381050984812e-21,0.963591125073102,0.265,0.136,1.30799435850835e-16,"EXTL2","0"
