"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
2.98741842212264e-31,0.251676588613214,1,0.995,5.37944435271624e-27,"SNAP25","0"
3.33939689224415e-31,0.967431702245916,0.367,0.187,6.01325198386404e-27,"CLEC2L","0"
3.60648998998669e-31,0.67851724485131,0.629,0.437,6.49420652496904e-27,"CREG2","0"
3.79013261825447e-31,0.54702449786544,0.796,0.615,6.82489180569082e-27,"NPTXR","0"
7.04884770879099e-31,-1.63435095863167,0.17,0.339,1.26928600692199e-26,"EFHD1","0"
8.64611809019527e-31,0.284328621576771,0.995,0.966,1.55690648450146e-26,"THY1","0"
9.84232908243291e-31,-1.49176012663916,0.2,0.37,1.77230819787369e-26,"CD9","0"
1.01042349113156e-30,0.858978065638899,0.383,0.198,1.8194695804806e-26,"NTRK3","0"
1.64152712977879e-30,0.947715028264256,0.367,0.189,2.95589790259267e-26,"KCNC1","0"
1.77124802250633e-30,0.593580379442367,0.71,0.519,3.18948631412715e-26,"GRIA2","0"
2.20726873335321e-30,0.757643893985687,0.487,0.289,3.97462880814912e-26,"ELMOD1","0"
2.4070416991874e-30,-0.397445179333106,0.934,0.971,4.33435998772675e-26,"FAU","0"
2.55092915995197e-30,-0.514330738760668,0.781,0.867,4.59345813832551e-26,"RPS6","0"
2.72186234766308e-30,1.13454626437776,0.277,0.122,4.90125752943692e-26,"SSTR1","0"
4.16943926193311e-30,-1.55809835367747,0.231,0.392,7.50790927896296e-26,"LAMP2","0"
5.41827679001345e-30,-1.77327330424476,0.136,0.298,9.75669101577722e-26,"CNDP1","0"
5.52806631268831e-30,0.79624409824866,0.498,0.308,9.95438900925784e-26,"MFSD4A","0"
7.19674463914362e-30,0.935642195963681,0.381,0.203,1.29591780717059e-25,"ACTN1","0"
1.03725155952393e-29,0.432882116300697,0.883,0.759,1.86777888323474e-25,"NPTN","0"
1.70924936168349e-29,-0.319451668327241,0.993,0.999,3.07784532558346e-25,"EEF1A1","0"
1.89823722461116e-29,-0.395011269612764,0.95,0.973,3.41815577035732e-25,"RPL19","0"
2.39054759859005e-29,1.09649330695865,0.263,0.112,4.3046590607811e-25,"MAN1C1","0"
2.41823851796868e-29,0.822153531637199,0.423,0.238,4.35452209930621e-25,"CAMK4","0"
2.4805027902577e-29,0.743838094460657,0.466,0.269,4.46664137441705e-25,"SYBU","0"
3.32456207874623e-29,0.595107871772746,0.637,0.431,5.98653893519833e-25,"CAMKK2","0"
4.07203500991715e-29,-1.67534467956201,0.168,0.331,7.33251344235781e-25,"PLLP","0"
5.19555405802087e-29,0.903198729488397,0.417,0.237,9.35563419227819e-25,"EPDR1","0"
9.40140345683222e-29,-1.05903295470373,0.388,0.543,1.69291072047178e-24,"SCGB1D2","0"
1.15425792928434e-28,-0.573190772256618,0.688,0.782,2.0784722532623e-24,"SCD5","0"
1.18523132673956e-28,0.768800115096768,0.463,0.276,2.13424605005993e-24,"BAIAP3","0"
1.59364950707411e-28,-0.388411819693322,0.92,0.959,2.86968466738836e-24,"RPL21","0"
1.76966208648624e-28,0.666594196932438,0.591,0.399,3.18663051913578e-24,"YJEFN3","0"
1.91672338505771e-28,0.924703158389299,0.359,0.189,3.45144379947342e-24,"MFGE8","0"
2.08634266870332e-28,0.965923668855306,0.332,0.167,3.75687724353407e-24,"FLRT2","0"
2.33212247488513e-28,0.727702861252432,0.536,0.347,4.19945294052566e-24,"TMX4","0"
2.512163199056e-28,-1.06041937726637,0.299,0.469,4.52365227254013e-24,"MUC1","0"
4.35290648606548e-28,-1.81093037628143,0.133,0.287,7.83827870945811e-24,"ELOVL1","0"
4.88195965564974e-28,0.478245963729095,0.817,0.679,8.79094475192849e-24,"CALY","0"
5.4081633014738e-28,-0.379485691349659,0.963,0.983,9.73847965696388e-24,"RPS8","0"
7.57279964463579e-28,0.396049417592067,0.898,0.787,1.36363403200957e-23,"PHYHIP","0"
1.06847768305857e-27,-0.299036516987244,0.992,0.994,1.92400776388357e-23,"RPL37A","0"
1.07941228274334e-27,0.601783617113761,0.647,0.463,1.94369769753593e-23,"CHL1","0"
1.1809558479407e-27,0.646558445682909,0.565,0.367,2.12654719538681e-23,"GRIN2A","0"
1.37748905920673e-27,0.450285940384751,0.858,0.707,2.48044454891357e-23,"NSF","0"
1.44584467100439e-27,0.657237497521899,0.524,0.328,2.6035324990776e-23,"MKL2","0"
1.52237149528476e-27,0.725950288685139,0.495,0.306,2.74133435155926e-23,"CTNNA2","0"
1.5235696337595e-27,-0.945773523955301,0.376,0.533,2.74349183951073e-23,"CD74","0"
2.13750150071246e-27,0.356924236982335,0.923,0.864,3.84899895233293e-23,"SERPINI1","0"
2.86547385457757e-27,0.901584954885666,0.367,0.198,5.15985876993783e-23,"CACNA1A","0"
3.02924564817544e-27,0.877585778198439,0.338,0.172,5.45476263866952e-23,"TESC","0"
3.19117099180704e-27,0.947579684670097,0.329,0.167,5.74634160494693e-23,"SORBS2","0"
4.42352428698316e-27,-0.348729580571794,0.945,0.979,7.96544018357057e-23,"RPS14","0"
4.46730633398289e-27,-1.39833615239342,0.208,0.367,8.04427851560298e-23,"PIP4K2A","0"
6.13114845454722e-27,0.492820898576998,0.751,0.555,1.10403590221032e-22,"SV2A","0"
8.7568041190265e-27,0.935642195963681,0.335,0.173,1.5768377177131e-22,"HOMER1","0"
1.49268229726062e-26,0.36083945572649,0.939,0.881,2.6878730126772e-22,"SLC22A17","0"
1.75676151593113e-26,0.846388105815767,0.398,0.227,3.16340046173718e-22,"NCEH1","0"
1.90019186509451e-26,0.649843828354307,0.535,0.345,3.42167549147569e-22,"NLK","0"
2.09736162848335e-26,0.369768378115764,0.904,0.816,3.77671908440997e-22,"ATP1A3","0"
2.14478367941164e-26,0.715695711987716,0.497,0.312,3.86211197151653e-22,"CAMKK1","0"
2.44433893828644e-26,0.971548091299886,0.293,0.141,4.4015211261724e-22,"LRRC4","0"
2.62527875787651e-26,-1.43673415118116,0.262,0.408,4.72733945930823e-22,"CNTN2","0"
3.31037733942671e-26,1.04585920225059,0.287,0.139,5.96099647510568e-22,"STEAP2","0"
3.41980565711608e-26,0.770041499117909,0.439,0.263,6.15804404676892e-22,"SCN8A","0"
5.20540416940785e-26,0.922618135476954,0.333,0.174,9.37337128785271e-22,"ABLIM2","0"
7.95469751866151e-26,0.597543685145123,0.608,0.424,1.43240238218538e-21,"OXR1","0"
8.36114953539375e-26,1.07397988859542,0.264,0.123,1.50559219683835e-21,"CDH8","0"
8.67132979234506e-26,0.864916244838269,0.367,0.202,1.56144635570757e-21,"KCNQ5","0"
1.26903847504599e-25,0.530824739772558,0.662,0.469,2.28515758201532e-21,"RBFOX1","0"
1.31578285220681e-25,0.830717944086794,0.386,0.22,2.3693301819688e-21,"SIPA1L1","0"
1.39355669470616e-25,0.732869583250137,0.42,0.242,2.50937754015738e-21,"SCRT1","0"
1.49955446278538e-25,1.09085456528651,0.258,0.12,2.70024772113764e-21,"GNAL","0"
1.92217014922207e-25,-0.863031371517547,0.417,0.558,3.46125178770418e-21,"HLA-A","0"
2.67513146542639e-25,0.860756616858298,0.364,0.201,4.8171092297933e-21,"ICAM5","0"
4.38726230384254e-25,0.912346200955509,0.376,0.215,7.90014323052926e-21,"VAMP1","0"
4.62298340650883e-25,0.296364281447991,0.969,0.908,8.32460622010045e-21,"BASP1","0"
4.73283094743787e-25,1.02805783018508,0.289,0.144,8.52240868705137e-21,"TMEM65","0"
6.08334796653046e-25,0.622168603320432,0.56,0.376,1.09542846833314e-20,"SNX10","0"
6.08779660324076e-25,0.691316792076041,0.472,0.294,1.09622953434556e-20,"KLC2","0"
6.46719456026821e-25,0.785591680030007,0.381,0.215,1.1645477244675e-20,"EFR3B","0"
1.4533729642772e-24,0.673616315190803,0.472,0.294,2.61708869677396e-20,"ATRNL1","0"
1.83138623925661e-24,0.936645251723262,0.318,0.167,3.29777720102937e-20,"HTR2A","0"
1.97513095408677e-24,0.777877908640904,0.384,0.219,3.55661830902405e-20,"ADAM23","0"
2.17690836026186e-24,0.275897284106335,0.985,0.959,3.91995888432353e-20,"TPI1","0"
4.09108497732252e-24,0.810482425146406,0.36,0.2,7.36681671866466e-20,"DOCK4","0"
